Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
11,2,27,4,2.0,9111.0,800.0,40.0,1.0,11.0,2.0,5.0
11,1,43,4,1.0,6111.0,3000.0,44.0,6.0,1.0,,0.0
11,2,58,2,2.0,9111.0,700.0,30.0,1.0,11.0,2.0,6.0
11,1,39,1,5.0,7231.0,1500.0,40.0,6.0,4.0,,12.0
11,1,30,4,2.0,7512.0,1320.0,48.0,3.0,4.0,1.0,6.0
11,1,62,4,2.0,6121.0,1000.0,40.0,6.0,1.0,,5.0
11,1,48,1,2.0,6111.0,4800.0,25.0,6.0,1.0,,4.0
11,1,34,2,2.0,9213.0,1800.0,40.0,3.0,1.0,2.0,2.0
11,2,30,4,6.0,5230.0,1400.0,40.0,3.0,4.0,1.0,14.0
11,1,35,4,5.0,3341.0,2840.0,44.0,3.0,2.0,1.0,12.0
11,1,34,2,7.0,5414.0,3600.0,40.0,4.0,8.0,,16.0
11,2,32,4,7.0,5311.0,1470.0,40.0,4.0,9.0,2.0,16.0
11,1,24,4,5.0,6111.0,2500.0,40.0,6.0,1.0,,12.0
11,1,45,4,2.0,6111.0,1930.0,40.0,6.0,1.0,,4.0
11,1,18,4,4.0,9112.0,1500.0,40.0,3.0,2.0,1.0,10.0
11,1,15,4,3.0,9211.0,300.0,15.0,6.0,1.0,,9.0
11,1,17,1,4.0,3423.0,1600.0,40.0,3.0,10.0,2.0,10.0
11,1,62,4,2.0,6121.0,2000.0,10.0,6.0,1.0,,6.0
11,1,19,4,5.0,4321.0,1900.0,50.0,3.0,2.0,1.0,12.0
11,1,52,1,2.0,9212.0,300.0,10.0,6.0,1.0,,3.0
11,1,21,1,5.0,4321.0,1690.0,30.0,3.0,2.0,1.0,12.0
11,1,46,4,5.0,6111.0,2500.0,25.0,6.0,1.0,,12.0
11,2,44,1,6.0,5153.0,2000.0,40.0,4.0,9.0,,13.0
11,1,29,4,4.0,9212.0,1500.0,20.0,6.0,1.0,,11.0
11,1,27,4,7.0,2341.0,1700.0,40.0,4.0,9.0,,16.0
11,1,32,1,5.0,6111.0,3000.0,60.0,6.0,1.0,,12.0
11,1,19,4,2.0,6121.0,1320.0,48.0,3.0,1.0,2.0,7.0
11,1,22,4,5.0,6121.0,600.0,40.0,6.0,1.0,,12.0
11,1,45,1,7.0,5413.0,1320.0,40.0,4.0,8.0,1.0,16.0
11,2,51,4,4.0,9211.0,350.0,40.0,6.0,1.0,,10.0
11,1,45,1,2.0,9211.0,650.0,40.0,6.0,1.0,,5.0
11,1,21,1,5.0,9612.0,1320.0,40.0,3.0,2.0,1.0,12.0
11,2,39,1,5.0,4110.0,3000.0,40.0,4.0,8.0,,12.0
11,1,43,4,2.0,6111.0,1600.0,44.0,6.0,1.0,,5.0
11,1,32,4,4.0,5223.0,1320.0,46.0,3.0,4.0,1.0,10.0
11,1,30,2,4.0,9211.0,1600.0,40.0,6.0,1.0,,11.0
11,1,27,1,4.0,6111.0,1800.0,40.0,6.0,1.0,,11.0
11,2,43,1,5.0,9520.0,2700.0,8.0,3.0,4.0,2.0,12.0
11,1,43,1,5.0,7126.0,2000.0,8.0,3.0,3.0,1.0,12.0
11,1,28,4,7.0,5221.0,2000.0,8.0,6.0,4.0,,16.0
11,1,53,1,5.0,5221.0,2000.0,8.0,6.0,4.0,,12.0
