Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação_TI,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
13,1,22,4,6.0,2356,1412.0,40.0,3.0,9.0,2.0,14.0
13,2,50,1,6.0,3511,800.0,30.0,3.0,9.0,2.0,14.0
13,2,39,4,5.0,3513,2800.0,24.0,3.0,7.0,1.0,12.0
13,1,39,4,5.0,3513,3500.0,48.0,3.0,7.0,1.0,12.0
13,1,28,1,7.0,2511,6000.0,40.0,3.0,2.0,1.0,16.0
13,1,30,1,6.0,3512,2500.0,40.0,3.0,2.0,1.0,15.0
13,1,25,4,5.0,7422,1500.0,44.0,6.0,10.0,,12.0
13,1,47,4,5.0,3113,1500.0,24.0,6.0,3.0,,12.0
13,1,24,1,6.0,3511,700.0,20.0,3.0,7.0,2.0,14.0
13,1,26,1,7.0,2512,8000.0,44.0,3.0,2.0,1.0,16.0
13,1,36,4,7.0,2151,3000.0,40.0,6.0,7.0,,16.0
13,2,32,1,6.0,3513,3000.0,40.0,3.0,4.0,1.0,15.0
13,1,28,2,5.0,7421,1800.0,40.0,3.0,6.0,1.0,12.0
13,1,33,1,7.0,2151,10800.0,40.0,3.0,2.0,1.0,16.0
13,2,31,4,7.0,2519,3600.0,40.0,3.0,7.0,1.0,16.0
13,1,32,1,7.0,2511,13000.0,44.0,3.0,7.0,1.0,16.0
13,1,46,4,7.0,2166,3000.0,28.0,6.0,7.0,,16.0
13,2,31,4,7.0,1330,5000.0,44.0,3.0,2.0,1.0,16.0
13,1,29,4,7.0,2512,3000.0,44.0,3.0,2.0,1.0,16.0
13,1,22,1,5.0,3513,1700.0,40.0,3.0,7.0,2.0,12.0
13,1,32,4,7.0,2511,5975.0,40.0,4.0,8.0,,16.0
13,1,65,4,7.0,2511,10000.0,40.0,4.0,8.0,,16.0
13,1,50,4,5.0,3113,3000.0,40.0,3.0,2.0,1.0,12.0
13,1,64,4,7.0,2511,4000.0,40.0,3.0,7.0,1.0,16.0
13,2,28,1,7.0,2512,5200.0,40.0,3.0,7.0,1.0,16.0
13,1,36,4,5.0,3521,4500.0,45.0,3.0,7.0,1.0,12.0
13,2,36,4,5.0,3511,4500.0,45.0,3.0,7.0,1.0,12.0
13,1,47,3,7.0,2511,13000.0,40.0,3.0,2.0,1.0,16.0
13,1,41,4,5.0,3113,4250.0,40.0,3.0,3.0,1.0,12.0
13,1,20,1,6.0,2166,600.0,30.0,4.0,8.0,2.0,13.0
13,1,30,4,5.0,2166,2000.0,30.0,3.0,7.0,2.0,12.0
13,1,39,4,5.0,3513,1412.0,40.0,3.0,7.0,1.0,12.0
13,1,21,1,5.0,3113,1800.0,40.0,3.0,3.0,1.0,12.0
13,1,50,4,7.0,3114,3000.0,44.0,3.0,2.0,1.0,15.0
13,1,45,4,5.0,3513,3000.0,40.0,4.0,5.0,,12.0
13,1,26,4,6.0,3514,4000.0,40.0,3.0,7.0,1.0,14.0
13,1,53,1,7.0,3113,3000.0,30.0,3.0,2.0,1.0,16.0
