Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação_TI,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
13,1,39,4,7.0,3114,3200.0,40.0,3.0,7.0,1.0,16.0
13,2,31,4,7.0,2519,3600.0,40.0,3.0,7.0,1.0,16.0
13,1,31,1,7.0,2512,13000.0,40.0,3.0,7.0,1.0,16.0
13,1,46,4,7.0,2166,2500.0,21.0,6.0,7.0,,16.0
13,1,37,1,7.0,3511,3880.0,40.0,4.0,8.0,,16.0
13,2,49,4,5.0,3113,1900.0,50.0,3.0,3.0,1.0,12.0
13,2,27,4,5.0,3114,1900.0,44.0,3.0,10.0,1.0,12.0
13,1,52,2,7.0,2514,4000.0,30.0,6.0,7.0,,16.0
13,1,18,4,5.0,7422,3000.0,40.0,6.0,10.0,,12.0
13,1,31,4,7.0,3511,7800.0,50.0,4.0,8.0,2.0,16.0
13,2,26,4,6.0,3511,3000.0,40.0,3.0,7.0,1.0,15.0
13,1,43,4,7.0,3511,4800.0,40.0,3.0,7.0,1.0,16.0
13,1,65,1,7.0,7422,4000.0,40.0,4.0,8.0,,16.0
13,1,35,4,5.0,7422,1500.0,40.0,3.0,2.0,1.0,12.0
13,1,30,4,7.0,2511,3500.0,36.0,3.0,7.0,1.0,16.0
13,1,23,4,5.0,2166,600.0,40.0,6.0,7.0,,12.0
13,1,64,4,7.0,3513,3000.0,48.0,6.0,7.0,,16.0
13,2,28,1,7.0,2513,2700.0,40.0,3.0,7.0,1.0,16.0
13,1,36,4,5.0,3522,3000.0,40.0,3.0,7.0,1.0,12.0
13,2,35,4,5.0,3511,2000.0,40.0,3.0,7.0,1.0,12.0
13,1,47,3,7.0,2511,9000.0,40.0,3.0,7.0,1.0,16.0
13,1,20,1,6.0,2166,600.0,30.0,4.0,8.0,2.0,13.0
13,1,20,4,6.0,3513,1320.0,40.0,3.0,7.0,1.0,14.0
13,1,38,4,5.0,7422,1320.0,40.0,3.0,7.0,1.0,12.0
13,1,56,4,7.0,3113,7000.0,40.0,3.0,2.0,1.0,16.0
13,1,30,4,5.0,3113,3000.0,40.0,3.0,7.0,1.0,12.0
13,1,42,1,7.0,2151,30000.0,40.0,3.0,2.0,1.0,16.0
13,1,39,4,7.0,3113,10000.0,40.0,3.0,2.0,1.0,16.0
13,1,39,1,7.0,2151,9000.0,40.0,3.0,2.0,1.0,16.0
13,1,50,4,7.0,3114,5280.0,40.0,3.0,2.0,1.0,15.0
13,1,26,4,6.0,3512,4000.0,40.0,3.0,7.0,1.0,14.0
13,1,53,1,7.0,3114,3960.0,102.0,3.0,3.0,1.0,16.0
13,2,39,4,7.0,3511,2200.0,40.0,3.0,2.0,1.0,14.0
13,1,30,1,6.0,3513,2500.0,44.0,3.0,7.0,1.0,13.0
13,1,51,1,2.0,7422,400.0,35.0,6.0,10.0,,7.0
13,1,36,4,7.0,7422,4000.0,40.0,6.0,10.0,,14.0
13,1,32,4,7.0,3521,4000.0,40.0,4.0,9.0,,16.0
13,1,37,4,7.0,2511,7500.0,44.0,3.0,7.0,1.0,16.0
13,2,38,1,7.0,2511,6000.0,44.0,3.0,2.0,1.0,16.0
13,1,28,1,7.0,2151,3000.0,40.0,3.0,2.0,1.0,16.0
13,1,32,4,7.0,2434,3000.0,48.0,6.0,4.0,,16.0
13,1,21,1,5.0,2166,500.0,60.0,6.0,7.0,,12.0
13,1,56,4,6.0,3114,6000.0,60.0,5.0,10.0,,16.0
13,1,34,4,5.0,3114,600.0,40.0,6.0,10.0,,12.0
13,1,45,4,7.0,2166,10000.0,40.0,3.0,7.0,1.0,16.0
13,1,43,1,5.0,2166,2000.0,40.0,6.0,7.0,,12.0
13,1,53,4,5.0,3114,6500.0,24.0,3.0,2.0,1.0,12.0
13,1,21,4,5.0,3511,3000.0,20.0,6.0,7.0,,12.0
13,2,44,4,5.0,7421,2800.0,40.0,3.0,2.0,1.0,12.0
13,2,65,1,7.0,2511,8000.0,44.0,3.0,7.0,1.0,16.0
13,1,62,2,5.0,3114,3900.0,40.0,3.0,2.0,1.0,12.0
13,1,31,4,5.0,7422,850.0,50.0,6.0,10.0,,12.0
13,2,52,4,7.0,2511,2500.0,40.0,4.0,8.0,,16.0
13,1,21,4,6.0,3511,800.0,20.0,4.0,8.0,2.0,14.0
13,1,40,4,7.0,3113,2600.0,40.0,3.0,2.0,1.0,16.0
13,1,33,4,7.0,3522,3500.0,45.0,3.0,7.0,1.0,16.0
13,1,45,1,5.0,3114,2500.0,40.0,3.0,2.0,1.0,12.0
13,2,36,4,7.0,2512,8000.0,44.0,3.0,7.0,1.0,16.0
13,1,28,4,7.0,2512,4000.0,40.0,3.0,7.0,1.0,16.0
13,2,54,4,7.0,2511,6000.0,30.0,4.0,8.0,,16.0
13,1,57,1,7.0,3522,5000.0,48.0,6.0,7.0,,16.0
13,2,55,1,7.0,3522,1500.0,40.0,6.0,7.0,,16.0
13,1,43,1,7.0,2512,9000.0,30.0,4.0,8.0,,16.0
13,1,27,1,5.0,3114,1320.0,40.0,3.0,4.0,1.0,12.0
13,1,51,4,5.0,3113,3200.0,44.0,3.0,3.0,1.0,12.0
13,1,21,4,5.0,3513,600.0,20.0,4.0,7.0,2.0,12.0
13,1,49,4,5.0,3114,1000.0,40.0,3.0,10.0,2.0,12.0
13,1,23,1,5.0,3114,1000.0,40.0,3.0,10.0,2.0,12.0
13,1,25,4,7.0,2512,2000.0,40.0,3.0,4.0,2.0,15.0
13,1,36,4,7.0,3513,2600.0,36.0,4.0,7.0,1.0,16.0
13,1,46,4,7.0,2511,3500.0,40.0,6.0,7.0,,16.0
13,1,33,2,7.0,3113,5400.0,45.0,3.0,2.0,1.0,14.0
13,1,40,4,7.0,3114,14000.0,30.0,4.0,2.0,1.0,16.0
13,1,31,1,7.0,2512,9000.0,40.0,3.0,7.0,1.0,16.0
13,1,65,4,7.0,3521,5200.0,60.0,4.0,8.0,2.0,16.0
13,1,40,4,7.0,2511,16800.0,40.0,4.0,8.0,,16.0
13,1,17,4,4.0,3521,1320.0,20.0,6.0,7.0,,11.0
13,1,46,4,3.0,7421,1320.0,40.0,6.0,10.0,,9.0
13,1,25,1,5.0,3521,1500.0,30.0,3.0,7.0,2.0,12.0
13,1,23,4,5.0,3113,1600.0,44.0,3.0,2.0,1.0,12.0
13,1,19,2,7.0,2166,5000.0,60.0,3.0,7.0,2.0,16.0
13,2,41,4,7.0,3522,4000.0,44.0,3.0,4.0,1.0,16.0
13,2,26,1,7.0,2512,6500.0,30.0,3.0,7.0,1.0,16.0
13,1,30,2,7.0,3521,1320.0,40.0,6.0,10.0,,16.0
13,1,41,4,6.0,3113,2000.0,40.0,3.0,7.0,1.0,13.0
13,2,38,4,7.0,2166,700.0,30.0,6.0,7.0,,16.0
